Country,Index,GDP per capita
Afghanistan,16,426
Albania,35,4831
Algeria,33,3943
Angola,29,2300
Argentina,38,12402
Armenia,49,4522
Australia,73,59341
Austria,74,45238
Azerbaijan,30,5344
Bahamas,64,26706
Bahrain,42,23235
Bangladesh,26,1684
Barbados,65,14801
Belarus,41,6418
Belgium,73,42901
Benin,42,1214
Bhutan,68,2977
Bolivia,30,3062
Bosnia and Herzegovina,35,5862
Botswana,55,6367
Brazil,38,8538
Brunei,60,29673
Bulgaria,42,8634
Burkina Faso,42,740
Burundi,19,261
Cambodia,23,1430
Cameroon,27,1433
Canada,74,43936
Cape Verde,58,2969
Central African Republic,24,371
Chad,20,596
Chile,67,14116
China,45,11188
Colombia,39,6418
Comoros,20,1356
Congo,21,501
Costa Rica,58,12894
Croatia,47,15166
Cuba,46,7291
Cyprus,53,28329
Czech Republic,54,20084
Denmark,88,58360
Dominica,55,6965
Dominican Republic,30,8411
East Timor,41,2061
Ecuador,36,5492
Egypt,33,3899
El Salvador,34,4134
Equatorial Guinea,17,5833
Estonia,74,21707
Ethiopia,39,835
Finland,88,46297
France,71,38046
Gabon,31,6577
Gambia,37,666
Georgia,55,4932
Germany,80,42726
Ghana,43,2015
Greece,49,18908
Grenada,53,8223
Guatemala,25,4388
Guinea,25,973
Guinea Bissau,21,614
Guyana,39,10857
Haiti,20,1283
Honduras,23,2428
Hong Kong,76,44481
Hungary,43,15519
Iceland,74,54417
India,40,1937
Indonesia,38,3893
Iran,25,5345
Iraq,23,4224
Ireland,74,88967
Israel,59,40805
Italy,56,31506
Ivory Coast,36,2378
Jamaica,44,4972
Japan,73,35291
Jordan,49,3782
Kazakhstan,37,11298
Kenya,30,1705
Kosovo,39,4430
Kuwait,43,23926
Kyrgyzstan,27,1123
Laos,30,2566
Latvia,59,16610
Lebanon,24,6096
Lesotho,38,974
Liberia,29,630
Libya,17,9044
Lithuania,61,18234
Luxembourg,81,107792
Macedonia,39,5287
Madagascar,26,442
Malawi,35,389
Malaysia,48,10576
Maldives,40,9808
Mali,29,745
Malta,54,27891
Mauritania,28,1610
Mauritius,54,9704
Mexico,31,9525
Moldova,36,3695
Mongolia,35,4107
Montenegro,46,7350
Morocco,39,3291
Mozambique,26,573
Myanmar,28,1317
Namibia,49,4196
Nepal,33,1037
Netherlands,82,48302
New Zealand,88,40415
Nicaragua,20,2053
Niger,31,508
Nigeria,24,2430
Norway,85,77513
Oman,52,18301
Pakistan,28,1474
Panama,36,13921
Papua New Guinea,31,2413
Paraguay,30,6265
Peru,36,6437
Philippines,33,3328
Poland,56,15850
Portugal,62,20831
Qatar,63,61001
Republic of the Congo,19,1516
Romania,45,11542
Russia,29,10216
Rwanda,53,890
Sao Tome and Principe,45,1692
Saudi Arabia,53,18696
Senegal,43,1437
Serbia,38,7114
Seychelles,70,16640
Sierra Leone,34,615
Singapore,85,66176
Slovakia,52,18181
Slovenia,57,24745
Solomon Islands,43,2026
South Africa,44,5948
South Korea,62,32731
Spain,61,26126
Sri Lanka,37,4376
St Lucia,56,9362
St Vincent and the Grenadines,59,7927
Sudan,20,1746
Suriname,39,7008
Swaziland,32,3924
Sweden,85,54262
Switzerland,84,87340
Tajikistan,25,1280
Tanzania,39,1040
Thailand,35,6124
Togo,30,632
Trinidad and Tobago,41,14180
Tunisia,44,3831
Turkey,38,13342
Turkmenistan,19,7422
Uganda,27,921
Ukraine,32,2452
United Arab Emirates,69,42536
United Kingdom,78,45102
United States,67,61856
Uruguay,73,15875
Uzbekistan,28,3328
Vanuatu,45,2573
Vietnam,39,3409
Yemen,16,1096
Zambia,33,1258
Zimbabwe,23,1289