Time,Inactive rate
2000 JAN,23.3
2000 FEB,23.2
2000 MAR,23.2
2000 APR,23.2
2000 MAY,23.3
2000 JUN,23.3
2000 JUL,23.3
2000 AUG,23.2
2000 SEP,23.3
2000 OCT,23.5
2000 NOV,23.5
2000 DEC,23.3
2001 JAN,23.3
2001 FEB,23.4
2001 MAR,23.4
2001 APR,23.5
2001 MAY,23.4
2001 JUN,23.5
2001 JUL,23.5
2001 AUG,23.5
2001 SEP,23.5
2001 OCT,23.4
2001 NOV,23.4
2001 DEC,23.5
2002 JAN,23.6
2002 FEB,23.6
2002 MAR,23.4
2002 APR,23.3
2002 MAY,23.3
2002 JUN,23.4
2002 JUL,23.3
2002 AUG,23.3
2002 SEP,23.2
2002 OCT,23.2
2002 NOV,23.2
2002 DEC,23.4
2003 JAN,23.4
2003 FEB,23.3
2003 MAR,23.3
2003 APR,23.3
2003 MAY,23.3
2003 JUN,23.2
2003 JUL,23.3
2003 AUG,23.3
2003 SEP,23.3
2003 OCT,23.4
2003 NOV,23.5
2003 DEC,23.3
2004 JAN,23.2
2004 FEB,23.2
2004 MAR,23.3
2004 APR,23.4
2004 MAY,23.4
2004 JUN,23.5
2004 JUL,23.5
2004 AUG,23.5
2004 SEP,23.5
2004 OCT,23.4
2004 NOV,23.3
2004 DEC,23.2
2005 JAN,23.1
2005 FEB,23.3
2005 MAR,23.4
2005 APR,23.4
2005 MAY,23.4
2005 JUN,23.4
2005 JUL,23.3
2005 AUG,23.3
2005 SEP,23.3
2005 OCT,23.3
2005 NOV,23.3
2005 DEC,23.3
2006 JAN,23.2
2006 FEB,23
2006 MAR,22.9
2006 APR,23
2006 MAY,22.9
2006 JUN,22.8
2006 JUL,22.7
2006 AUG,22.9
2006 SEP,22.9
2006 OCT,23
2006 NOV,23
2006 DEC,23.1
2007 JAN,23.2
2007 FEB,23.2
2007 MAR,23.2
2007 APR,23.1
2007 MAY,23.2
2007 JUN,23.2
2007 JUL,23.2
2007 AUG,23.2
2007 SEP,23.1
2007 OCT,23.1
2007 NOV,23.1
2007 DEC,23
2008 JAN,22.9
2008 FEB,23
2008 MAR,22.9
2008 APR,22.9
2008 MAY,22.9
2008 JUN,22.9
2008 JUL,23
2008 AUG,23
2008 SEP,23.1
2008 OCT,22.9
2008 NOV,22.9
2008 DEC,22.7
2009 JAN,22.8
2009 FEB,22.8
2009 MAR,22.9
2009 APR,23
2009 MAY,23.1
2009 JUN,23.3
2009 JUL,23.2
2009 AUG,23.3
2009 SEP,23.3
2009 OCT,23.4
2009 NOV,23.4
2009 DEC,23.6
2010 JAN,23.6
2010 FEB,23.6
2010 MAR,23.6
2010 APR,23.4
2010 MAY,23.5
2010 JUN,23.3
2010 JUL,23.3
2010 AUG,23.2
2010 SEP,23.3
2010 OCT,23.5
2010 NOV,23.5
2010 DEC,23.3
2011 JAN,23.3
2011 FEB,23.4
2011 MAR,23.5
2011 APR,23.4
2011 MAY,23.3
2011 JUN,23.5
2011 JUL,23.4
2011 AUG,23.4
2011 SEP,23.3
2011 OCT,23.2
2011 NOV,23.2
2011 DEC,23.2
2012 JAN,23.2
2012 FEB,23.1
2012 MAR,23.1
2012 APR,23
2012 MAY,22.8
2012 JUN,22.6
2012 JUL,22.6
2012 AUG,22.7
2012 SEP,22.7
2012 OCT,22.5
2012 NOV,22.4
2012 DEC,22.4
2013 JAN,22.5
2013 FEB,22.6
2013 MAR,22.6
2013 APR,22.6
2013 MAY,22.5
2013 JUN,22.4
2013 JUL,22.4
2013 AUG,22.3
2013 SEP,22.3
2013 OCT,22.3
2013 NOV,22.3
2013 DEC,22.2
2014 JAN,22.1
2014 FEB,22.2
2014 MAR,22.1
2014 APR,22
2014 MAY,22.2
2014 JUN,22.3
2014 JUL,22.2
2014 AUG,22.2
2014 SEP,22.2
2014 OCT,22.3
2014 NOV,22.3
2014 DEC,22.2
2015 JAN,22.1
2015 FEB,22.1
2015 MAR,22.2
2015 APR,22.2
2015 MAY,22.1
2015 JUN,22.1
2015 JUL,22.1
2015 AUG,22
2015 SEP,21.9
2015 OCT,21.9
2015 NOV,21.8
2015 DEC,21.8
2016 JAN,21.8
2016 FEB,21.8
2016 MAR,21.8
2016 APR,21.7
2016 MAY,21.6
2016 JUN,21.6
2016 JUL,21.5
2016 AUG,21.7
2016 SEP,21.7
2016 OCT,21.7
2016 NOV,21.6
2016 DEC,21.7
2017 JAN,21.6
2017 FEB,21.6
2017 MAR,21.6
2017 APR,21.5
2017 MAY,21.3
2017 JUN,21.3
2017 JUL,21.4
2017 AUG,21.6
2017 SEP,21.5
2017 OCT,21.2
2017 NOV,21.3
2017 DEC,21.2
2018 JAN,21.2
2018 FEB,21.1
2018 MAR,21
2018 APR,21
2018 MAY,21.2
2018 JUN,21.2
2018 JUL,21.2
2018 AUG,21.1
2018 SEP,21
2018 OCT,21
2018 NOV,20.9
2018 DEC,20.7
2019 JAN,20.7
2019 FEB,20.8
2019 MAR,20.8
2019 APR,20.9
2019 MAY,20.7
2019 JUN,20.8
2019 JUL,21
2019 AUG,20.8
2019 SEP,20.8
2019 OCT,20.6
2019 NOV,20.5
2019 DEC,20.4
2020 JAN,20.2
2020 FEB,20.4
2020 MAR,20.7
2020 APR,20.8
2020 MAY,21
2020 JUN,20.9
2020 JUL,21
2020 AUG,21.1
2020 SEP,21.1
2020 OCT,21
2020 NOV,21.2
2020 DEC,21.3
2021 JAN,21.2
2021 FEB,21.4
2021 MAR,21.4
2021 APR,21.4
2021 MAY,21.2
2021 JUN,21.2
2021 JUL,21.2
2021 AUG,21.2
2021 SEP,21.3
2021 OCT,21.3
2021 NOV,21.3
2021 DEC,21.4
2022 JAN,21.5
2022 FEB,21.4
2022 MAR,21.3
2022 APR,21.1
2022 MAY,21.4
2022 JUN,21.7
2022 JUL,21.7
2022 AUG,21.6
2022 SEP,21.5