country ,year ,rate 
United States of America ,1998,3.242889881
United States of America ,1999,3.282180071
United States of America ,2000,3.59897995
United States of America ,2001,3.495019913
United States of America ,2002,3.660200119
United States of America ,2003,3.529530048
United States of America ,2004,3.387530088
United States of America ,2005,3.416840076
United States of America ,2006,3.343640089
United States of America ,2007,3.355360031
United States of America ,2008,3.422130108
United States of America ,2009,3.458029985
United States of America ,2010,3.352339983
United States of America ,2011,3.376290083
United States of America ,2012,3.527090073
United States of America ,2013,3.927510023
United Kingdom,1998,10.8105402
United Kingdom,1999,11.17465019
United Kingdom,2000,11.01387024
United Kingdom,2001,10.91843033
United Kingdom,2002,10.1430397
United Kingdom,2003,11.15610027
United Kingdom,2004,13.35101032
United Kingdom,2005,13.91882992
United Kingdom,2006,14.12938023
United Kingdom,2007,14.87504959
United Kingdom,2008,14.6723299
United Kingdom,2009,15.27676964
United Kingdom,2010,15.7292099
United Kingdom,2011,16.8498497
United Kingdom,2012,17.13636971
United Kingdom,2013,17.46262932
Canada,1998,2.357599974
Canada,1999,2.659729958
Canada,2000,3.00703001
China,2006,0.155760005
China,2007,0.166250005
China,2008,0.191210002
China,2009,0.208939999
China,2010,0.230859995
China,2011,0.254370004
China,2012,0.273059994
China,2013,0.282799989
Netherlands,1999,2.898370028
Netherlands,2000,2.873379946
Netherlands,2001,3.291189909
Netherlands,2002,3.652309895
Netherlands,2003,3.897550106
Netherlands,2004,4.813059807
Netherlands,2005,4.670410156
Netherlands,2006,4.664589882
Netherlands,2007,4.651420116
Netherlands,2008,4.989659786
Netherlands,2009,3.827640057
Netherlands,2010,4.296790123
Netherlands,2011,4.918759823
Netherlands,2012,7.245510101
Switzerland,1999,16.15065002
Switzerland,2000,16.57518959
Switzerland,2001,16.99485016
Switzerland,2002,17.22727013
Switzerland,2003,17.66300011
Switzerland,2004,18.2217598
Switzerland,2005,18.42399979
Switzerland,2006,17.89277077
Switzerland,2007,17.97974968
Switzerland,2008,14.12489033
Switzerland,2009,14.92453957
Switzerland,2010,15.36163044
Switzerland,2011,16.22183037
Switzerland,2012,16.49571991
Switzerland,2013,16.85936928
Germany,2013,7.072589874
Sweden,1999,7.284470081
Sweden,2000,7.365129948
Sweden,2001,7.347080231
Sweden,2002,7.486989975
Sweden,2003,7.830329895
Sweden,2004,4.015850067
Sweden,2005,4.678909779
Sweden,2006,5.043610096
Sweden,2007,5.35036993
Sweden,2008,5.567500114
Sweden,2009,6.398789883
Sweden,2010,6.930170059
Sweden,2011,7.879099846
Sweden,2012,6.315289974
Sweden,2013,5.8261199
Italy,1999,1.307340026
Italy,2000,1.408419967
Italy,2001,1.61274004
Italy,2002,1.534190059
Italy,2003,1.888669968
Italy,2004,2.045860052
Italy,2005,2.229330063
Italy,2006,2.419389963
Italy,2007,2.816179991
Italy,2008,3.391799927
Italy,2009,3.274470091
Italy,2010,3.529839993
Italy,2011,3.739840031
Italy,2012,4.036079884
Italy,2013,4.402750015