year,ratio
1971,14.56785011
1972,15.44357014
1973,16.0884304
1974,16.75241089
1975,18.58173943
1976,19.20892906
1977,19.33827019
1978,19.12550926
1979,19.15550041
1980,18.83820915
1981,18.87565994
1982,18.95512009
1983,21.05559921
1984,21.07159042
1985,20.99778938
1986,21.51676941
1987,22.53919983
1988,23.30709076
1989,24.39281082
1990,26.47389984
1991,29.17259026
1992,33.22072983
1993,37.97563934
1994,42.80593872
1995,48.25040817
1996,50.08172989
1997,53.29758835
1998,55.57143021
1999,60.15842819
2000,58.52434158
2001,59.30871964
2002,62.60157013
2003,62.08634949
2004,59.36344147
2005,59.00099182
2006,59.12668991
2007,58.65200043
2008,56.87400818
2009,58.15341949
2010,59.06695938
2011,58.98590851
2012,59.22314072
2013,56.87012863
2014,56.47676849